,,,,,,,09/07/2026,RELATÓRIO ATUALIZADO CEARÁ,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,09/07/2026,,,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,09/07/2026 17:02:13,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,MARCA,LOTE,Column 23
2227,OK,ANIGER FILIAL 02,146,139856,29443336527,94666,ATAC. MR140019 6MM RECICLADO COR 6132,95CM,20117420,24,,18/06/2026,07/07/2026,-2,,07/07/2026,#N/A,#N/A,#N/A,29443336527,,21,NIKE (Aniger),134570,
1994,OK,DAKOTA RUSSAS,43,140027,50143327,85738,ELAST. LS 16410 POLIESTER COR 382,7MM,86933D,1200,,24/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,50143327,,15,DAKOTA (Todas),134844,
1995,OK,DAKOTA RUSSAS,43,140029,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,87064D,6000,,24/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,4142643,,15,DAKOTA (Todas),134846,
1996,NÃO,DAKOTA RUSSAS,43,140030,50063913,73619,ELAST. LS 16410 POLIESTER COR 005,7MM,87093D,600,,24/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,50063913,,15,DAKOTA (Todas),134847,
1997,NÃO,DAKOTA RUSSAS,43,140030,821303,95050,ELAST. LS 16410 POLIESTER COR 962,7MM,87093D,100,,24/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,821303,MONTAR,15,DAKOTA (Todas),134847,
1998,OK,DAKOTA RUSSAS,43,140031,4114050,69627,ELAST. LS 16410 POLIESTER COR 100,7MM,87094D,10000,,24/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,4114050,,15,DAKOTA (Todas),134848,
2000,NÃO,DAKOTA RUSSAS,43,140136,50058725,74302,FITA MFGP POLIESTER COR 053,10MM,86939D,200,,25/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,50058725,,14,DAKOTA (Todas),134931,
2001,NÃO,DAKOTA RUSSAS,43,140136,50134097,75661,FITA MFGP POLIESTER COR 321,10MM,86939D,150,,25/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,50134097,,14,DAKOTA (Todas),134931,
2002,NÃO,DAKOTA RUSSAS,43,140137,50134444,70308,FITA MFGP POLIESTER COR 052,10MM,86940D,1600,,25/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,50134444,,14,DAKOTA (Todas),134930,
2003,NÃO,DAKOTA RUSSAS,43,140137,50134435,82745,FITA MFGP POLIESTER COR 955,10MM,86940D,80,,25/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,50134435,,14,DAKOTA (Todas),134930,
2004,NÃO,DAKOTA RUSSAS,43,140137,50134462,84029,FITA MFGP POLIESTER COR 4510,10MM,86940D,70,,25/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,50134462,,14,DAKOTA (Todas),134930,
2005,NÃO,DAKOTA RUSSAS,43,140137,50133698,91722,FITA MFGP POLIESTER COR 4525,10MM,86940D,1800,,25/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,50133698,,14,DAKOTA (Todas),134930,
2041,NÃO,DAKOTA IGUATU,91,140325,9209885,83813,ATAC. M1294 7MM POLIESTER COR 987,95CM,75305U,256,,30/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,9209885,,9,DAKOTA (Todas),135154,
2292,OK,DILLY NORDESTE,225,140049,196055-100,88174,ATAC. M21020 8MM POLIESTER COR 4068,100CM,486238,78,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,196055-100,,15,MORMAII,134919,
2293,OK,DILLY NORDESTE,225,140049,196055-105,88174,ATAC. M21020 8MM POLIESTER COR 4068,105CM,486238,114,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,196055-105,,15,MORMAII,134919,
2294,OK,DILLY NORDESTE,225,140049,196055-105,88174,ATAC. M21020 8MM POLIESTER COR 4068,105CM,486238,96,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-105,,15,MORMAII,134919,
2295,OK,DILLY NORDESTE,225,140049,196055-105,88174,ATAC. M21020 8MM POLIESTER COR 4068,105CM,486238,96,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-105,,15,MORMAII,134919,
2296,OK,DILLY NORDESTE,225,140049,196055-105,88174,ATAC. M21020 8MM POLIESTER COR 4068,105CM,486238,96,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-105,,15,MORMAII,134919,
2297,OK,DILLY NORDESTE,225,140049,196055-110,88174,ATAC. M21020 8MM POLIESTER COR 4068,110CM,486238,348,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-110,,15,MORMAII,134919,
2298,OK,DILLY NORDESTE,225,140049,196055-110,88174,ATAC. M21020 8MM POLIESTER COR 4068,110CM,486238,312,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-110,,15,MORMAII,134919,
2299,OK,DILLY NORDESTE,225,140049,196055-110,88174,ATAC. M21020 8MM POLIESTER COR 4068,110CM,486238,312,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-110,,15,MORMAII,134919,
2300,OK,DILLY NORDESTE,225,140049,196055-110,88174,ATAC. M21020 8MM POLIESTER COR 4068,110CM,486238,312,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-110,,15,MORMAII,134919,
2301,OK,DILLY NORDESTE,225,140049,196055-115,88174,ATAC. M21020 8MM POLIESTER COR 4068,115CM,486238,228,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-115,,15,MORMAII,134919,
2302,OK,DILLY NORDESTE,225,140049,196055-115,88174,ATAC. M21020 8MM POLIESTER COR 4068,115CM,486238,204,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-115,,15,MORMAII,134919,
2303,OK,DILLY NORDESTE,225,140049,196055-115,88174,ATAC. M21020 8MM POLIESTER COR 4068,115CM,486238,204,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-115,,15,MORMAII,134919,
2304,OK,DILLY NORDESTE,225,140049,196055-115,88174,ATAC. M21020 8MM POLIESTER COR 4068,115CM,486238,204,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,196055-115,,15,MORMAII,134919,
2305,OK,DILLY NORDESTE,225,140050,195807-105,73821,ATAC. M21020 8MM POLIESTER COR 100,105CM,486239,204,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195807-105,,15,MORMAII,134920,
2306,OK,DILLY NORDESTE,225,140050,195807-105,73821,ATAC. M21020 8MM POLIESTER COR 100,105CM,486239,210,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195807-105,,15,MORMAII,134920,
2307,OK,DILLY NORDESTE,225,140050,195807-110,73821,ATAC. M21020 8MM POLIESTER COR 100,110CM,486239,312,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195807-110,,15,MORMAII,134920,
2308,OK,DILLY NORDESTE,225,140050,195807-110,73821,ATAC. M21020 8MM POLIESTER COR 100,110CM,486239,312,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195807-110,,15,MORMAII,134920,
2309,OK,DILLY NORDESTE,225,140050,195807-115,73821,ATAC. M21020 8MM POLIESTER COR 100,115CM,486239,144,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195807-115,,15,MORMAII,134920,
2310,OK,DILLY NORDESTE,225,140050,195807-115,73821,ATAC. M21020 8MM POLIESTER COR 100,115CM,486239,120,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195807-115,,15,MORMAII,134920,
2311,OK,DILLY NORDESTE,225,140050,195808-100,73822,ATAC. M21020 8MM POLIESTER COR 102,100CM,486239,48,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-100,,15,MORMAII,134920,
2312,OK,DILLY NORDESTE,225,140050,195808-100,73822,ATAC. M21020 8MM POLIESTER COR 102,100CM,486239,24,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-100,,15,MORMAII,134920,
2313,OK,DILLY NORDESTE,225,140050,195808-105,73822,ATAC. M21020 8MM POLIESTER COR 102,105CM,486239,210,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-105,,15,MORMAII,134920,
2314,OK,DILLY NORDESTE,225,140050,195808-105,73822,ATAC. M21020 8MM POLIESTER COR 102,105CM,486239,180,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-105,,15,MORMAII,134920,
2315,OK,DILLY NORDESTE,225,140050,195808-110,73822,ATAC. M21020 8MM POLIESTER COR 102,110CM,486239,324,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-110,,15,MORMAII,134920,
2316,OK,DILLY NORDESTE,225,140050,195808-110,73822,ATAC. M21020 8MM POLIESTER COR 102,110CM,486239,312,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-110,,15,MORMAII,134920,
2317,OK,DILLY NORDESTE,225,140050,195808-115,73822,ATAC. M21020 8MM POLIESTER COR 102,115CM,486239,114,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-115,,15,MORMAII,134920,
2318,OK,DILLY NORDESTE,225,140050,195808-115,73822,ATAC. M21020 8MM POLIESTER COR 102,115CM,486239,96,,24/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-115,,15,MORMAII,134920,
2339,OK,DILLY NORDESTE,225,140144,195807-85,73821,ATAC. M21020 8MM POLIESTER COR 100,85CM,486240,66,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195807-85,,14,MORMAII,134923,
2340,OK,DILLY NORDESTE,225,140144,195807-90,73821,ATAC. M21020 8MM POLIESTER COR 100,90CM,486240,264,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195807-90,,14,MORMAII,134923,
2341,OK,DILLY NORDESTE,225,140144,195807-95,73821,ATAC. M21020 8MM POLIESTER COR 100,95CM,486240,318,,25/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-95,,14,MORMAII,134923,
2342,OK,DILLY NORDESTE,225,140144,195808-85,73822,ATAC. M21020 8MM POLIESTER COR 102,85CM,486240,156,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-85,,14,MORMAII,134923,
2343,OK,DILLY NORDESTE,225,140144,195808-85,73822,ATAC. M21020 8MM POLIESTER COR 102,85CM,486240,120,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-85,,14,MORMAII,134923,
2344,OK,DILLY NORDESTE,225,140144,195808-90,73822,ATAC. M21020 8MM POLIESTER COR 102,90CM,486240,372,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-90,,14,MORMAII,134923,
2345,OK,DILLY NORDESTE,225,140144,195808-90,73822,ATAC. M21020 8MM POLIESTER COR 102,90CM,486240,360,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-90,,14,MORMAII,134923,
2346,OK,DILLY NORDESTE,225,140144,195808-95,73822,ATAC. M21020 8MM POLIESTER COR 102,95CM,486240,156,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-95,,14,MORMAII,134923,
2347,OK,DILLY NORDESTE,225,140144,195808-95,73822,ATAC. M21020 8MM POLIESTER COR 102,95CM,486240,144,,25/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-95,,14,MORMAII,134923,
2348,OK,DILLY NORDESTE,225,140175,195808-105,73822,ATAC. M21020 8MM POLIESTER COR 102,105CM,486831,6,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-105,,13,MORMAII,135314,
2349,OK,DILLY NORDESTE,225,140175,195808-110,73822,ATAC. M21020 8MM POLIESTER COR 102,110CM,486831,312,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-110,,13,MORMAII,135314,
2350,OK,DILLY NORDESTE,225,140175,195808-115,73822,ATAC. M21020 8MM POLIESTER COR 102,115CM,486831,330,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/26,#N/A,#N/A,#N/A,195808-115,,13,MORMAII,135314,
2351,OK,DILLY NORDESTE,225,140176,195807-120,73821,ATAC. M21020 8MM POLIESTER COR 100,120CM,486832,13,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-120,,13,MORMAII,135315,
2352,OK,DILLY NORDESTE,225,140176,195807-120,73821,ATAC. M21020 8MM POLIESTER COR 100,120CM,486832,10,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-120,,13,MORMAII,135315,
2353,OK,DILLY NORDESTE,225,140176,195807-120,73821,ATAC. M21020 8MM POLIESTER COR 100,120CM,486832,10,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-120,,13,MORMAII,135315,
2354,OK,DILLY NORDESTE,225,140176,195807-120,73821,ATAC. M21020 8MM POLIESTER COR 100,120CM,486832,10,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-120,,13,MORMAII,135315,
2355,OK,DILLY NORDESTE,225,140176,195807-125,73821,ATAC. M21020 8MM POLIESTER COR 100,125CM,486832,99,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-125,,13,MORMAII,135315,
2356,OK,DILLY NORDESTE,225,140176,195807-125,73821,ATAC. M21020 8MM POLIESTER COR 100,125CM,486832,111,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-125,,13,MORMAII,135315,
2357,OK,DILLY NORDESTE,225,140176,195807-125,73821,ATAC. M21020 8MM POLIESTER COR 100,125CM,486832,111,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-125,,13,MORMAII,135315,
2358,OK,DILLY NORDESTE,225,140176,195807-125,73821,ATAC. M21020 8MM POLIESTER COR 100,125CM,486832,111,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-125,,13,MORMAII,135315,
2359,OK,DILLY NORDESTE,225,140176,195807-130,73821,ATAC. M21020 8MM POLIESTER COR 100,130CM,486832,334,,26/06/2026,08/07/2026,-1,,08/07/26,#N/A,#N/A,#N/A,195807-130,,13,MORMAII,135315,
2360,OK,DILLY NORDESTE,225,140176,195807-130,73821,ATAC. M21020 8MM POLIESTER COR 100,130CM,486832,288,,26/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,195807-130,,13,MORMAII,135315,
2361,OK,DILLY NORDESTE,225,140176,195807-130,73821,ATAC. M21020 8MM POLIESTER COR 100,130CM,486832,334,,26/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,195807-130,,13,MORMAII,135315,
2362,OK,DILLY NORDESTE,225,140176,195807-130,73821,ATAC. M21020 8MM POLIESTER COR 100,130CM,486832,334,,26/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,195807-130,,13,MORMAII,135315,
2363,OK,DILLY NORDESTE,225,140176,195807-135,73821,ATAC. M21020 8MM POLIESTER COR 100,135CM,486832,210,,26/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,195807-135,,13,MORMAII,135315,
2364,OK,DILLY NORDESTE,225,140176,195807-135,73821,ATAC. M21020 8MM POLIESTER COR 100,135CM,486832,210,,26/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,195807-135,,13,MORMAII,135315,
2365,OK,DILLY NORDESTE,225,140176,195807-135,73821,ATAC. M21020 8MM POLIESTER COR 100,135CM,486832,210,,26/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,195807-135,,13,MORMAII,135315,
2366,OK,DILLY NORDESTE,225,140176,195807-135,73821,ATAC. M21020 8MM POLIESTER COR 100,135CM,486832,186,,26/06/2026,08/07/2026,-1,,08/07/2026,#N/A,#N/A,#N/A,195807-135,,13,MORMAII,135315,
2367,OK,DILLY NORDESTE,225,140176,195808-120,73822,ATAC. M21020 8MM POLIESTER COR 102,120CM,486832,10,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-120,,13,MORMAII,135315,
2368,OK,DILLY NORDESTE,225,140176,195808-120,73822,ATAC. M21020 8MM POLIESTER COR 102,120CM,486832,9,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-120,,13,MORMAII,135315,
2369,OK,DILLY NORDESTE,225,140176,195808-125,73822,ATAC. M21020 8MM POLIESTER COR 102,125CM,486832,103,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-125,,13,MORMAII,135315,
2370,OK,DILLY NORDESTE,225,140176,195808-125,73822,ATAC. M21020 8MM POLIESTER COR 102,125CM,486832,107,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-125,,13,MORMAII,135315,
2371,OK,DILLY NORDESTE,225,140176,195808-130,73822,ATAC. M21020 8MM POLIESTER COR 102,130CM,486832,312,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-130,,13,MORMAII,135315,
2372,OK,DILLY NORDESTE,225,140176,195808-130,73822,ATAC. M21020 8MM POLIESTER COR 102,130CM,486832,330,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-130,,13,MORMAII,135315,
2373,OK,DILLY NORDESTE,225,140176,195808-135,73822,ATAC. M21020 8MM POLIESTER COR 102,135CM,486832,208,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-135,,13,MORMAII,135315,
2374,OK,DILLY NORDESTE,225,140176,195808-135,73822,ATAC. M21020 8MM POLIESTER COR 102,135CM,486832,218,,26/06/2026,08/07/2026,-1,PRODUÇAO,08/07/2026,#N/A,#N/A,#N/A,195808-135,,13,MORMAII,135315,
2,OK,DASS ITAPIPOCA,2,138057,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636339,170,15619084ADL0000416,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380683,,71,ADIDAS,132970,
3,OK,DASS ITAPIPOCA,2,138057,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636339,170,15619087ADL0000416,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380683,,71,ADIDAS,132970,
4,OK,DASS ITAPIPOCA,2,138057,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636339,170,15619090ADL0000416,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380683,,71,ADIDAS,132970,
5,OK,DASS ITAPIPOCA,2,138057,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636339,180,15619093ADL0000416,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380683,,71,ADIDAS,132970,
6,OK,DASS ITAPIPOCA,2,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,115CM,15636339,331,15619100ADL0000414,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380684,,71,ADIDAS,132970,
7,OK,DASS ITAPIPOCA,2,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,120CM,15636339,265,15619128ADL0000415,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380684,,71,ADIDAS,132970,
8,OK,DASS ITAPIPOCA,2,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,125CM,15636339,209,15619122ADL0000415,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380684,,71,ADIDAS,132970,
9,OK,DASS ITAPIPOCA,2,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,125CM,15636339,150,15619125ADL0000415,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380684,,71,ADIDAS,132970,
10,OK,DASS ITAPIPOCA,2,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,125CM,15636339,120,15619128ADL0000415,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380684,,71,ADIDAS,132970,
11,OK,DASS ITAPIPOCA,2,138057,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,115CM,15636339,18,15619143ADL0000418,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380686,,71,ADIDAS,132970,
12,OK,DASS ITAPIPOCA,2,138057,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,120CM,15636339,496,15619143ADL0000418,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380686,,71,ADIDAS,132970,
13,OK,DASS ITAPIPOCA,2,138057,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,125CM,15636339,192,15619143ADL0000418,29/04/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1380686,,71,ADIDAS,132970,
29,OK,DASS ITAPIPOCA,2,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,130CM,15636341,170,15619195ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1396818,,64,ADIDAS,133220,
30,OK,DASS ITAPIPOCA,2,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,130CM,15636341,180,15619198ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1396818,,64,ADIDAS,133220,
31,OK,DASS ITAPIPOCA,2,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15636341,211,15619195ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1396818,,64,ADIDAS,133220,
32,OK,DASS ITAPIPOCA,2,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15636341,210,15619198ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1396818,,64,ADIDAS,133220,
33,OK,DASS ITAPIPOCA,2,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,140CM,15636341,40,15619195ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1396818,,64,ADIDAS,133220,
34,OK,DASS ITAPIPOCA,2,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,140CM,15636341,30,15619198ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1396818,,64,ADIDAS,133220,
35,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636341,13,15619146ADL0000420,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
36,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636341,271,15619146ADL0000420,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
37,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636341,304,15619149ADL0000420,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
38,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636341,183,15619146ADL0000420,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
39,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636341,185,15619149ADL0000420,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
40,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15636341,170,15619195ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
41,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15636341,180,15619198ADL0000411,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
42,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15636341,140,15619152ADL0000426,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
43,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15636341,120,15619155ADL0000426,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
44,OK,DASS ITAPIPOCA,2,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15636341,162,15619158ADL0000426,06/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,64,ADIDAS,133220,
